path,category,layer,total_hits,jorge,business_360,revolutia,monk,people,clients_360,notion_ids,hardcoded_paths,cal_com,personal_email
/Users/jorgeguamis/Desktop/Life OS/00. Inbox/fireflies/2026-05-02 Jorge Javier Semanal - Fireflies.md,PERSONAL,other,1620,1008,0,0,0,612,0,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/00. Inbox/fireflies/2026-05-02 Jorge Javier Semanal - Fireflies.json,PERSONAL,other,1619,1007,0,0,0,612,0,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_360/clientes/archivo/Davide Bonomi/Onboarding- Davide Bonomi.json,PERSONAL,L5-context-file,915,914,0,1,0,0,0,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/.smart-env/smart_env.json,PERSONAL,other,190,0,0,0,0,0,190,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_360/clientes/archivo/Spain Is Excellence/SIE - Transcript Reu Adriana - 17-04-2026.md,PERSONAL,L5-context-file,158,76,0,2,0,73,7,0,0,0,0
/Users/jorgeguamis/Desktop/.claude/config/hermes-crons-v1.json,PERSONAL,L1-context,110,65,5,7,0,0,0,1,32,0,0
/Users/jorgeguamis/Desktop/Life OS/.claude/config/hermes-crons-v1.json,PERSONAL,L1-context,110,65,5,7,0,0,0,1,32,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_revolutia/Revolutia IA PRO - OFERTA PRINCIPAL.md,PERSONAL,L5-context-file,109,18,0,91,0,0,0,0,0,0,0
/Users/jorgeguamis/Desktop/.claude/settings.local.json,PERSONAL,other,102,41,11,6,0,0,8,0,36,0,0
/Users/jorgeguamis/Desktop/Life OS/.claude/settings.local.json,PERSONAL,other,102,41,11,6,0,0,8,0,36,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_Monk/roadmaps/Análisis Estratégico - Playbooks aplicados a Monk.md,PERSONAL,L5-context-file,85,2,1,0,82,0,0,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_360/clientes/activos/LabArmonia/04. Diagnóstico/Auditoría de Procesos/consolidado/Roadmap.md,PERSONAL,L5-context-file,82,20,49,0,0,0,13,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/02. Weekly/2026-W03.md,PERSONAL,L5-journal,79,2,30,43,0,0,4,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_360/clientes/archivo/Spain Is Excellence/SIE - Estructura Formación Excelenc-IA.md,PERSONAL,L5-context-file,76,40,3,0,0,29,4,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_Monk/roadmaps/Roadmap Producto.md,PERSONAL,L5-context-file,76,1,0,0,75,0,0,0,0,0,0
/Users/jorgeguamis/Desktop/CLAUDE.md,PERSONAL,L1-meta,73,11,27,23,7,2,1,2,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/02. Weekly/2026-W06.md,PERSONAL,L5-journal,72,3,8,21,0,2,38,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/02. Weekly/2026-W02.md,PERSONAL,L5-journal,71,0,37,33,1,0,0,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/07-05-2026.md,PERSONAL,L5-journal,69,4,5,12,6,16,26,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/06-05-2026.md,PERSONAL,L5-journal,67,5,6,13,1,14,28,0,0,0,0
/Users/jorgeguamis/Desktop/Life OS/03. Sistema/stack.md,PERSONAL,other,67,21,16,25,0,0,0,0,1,0,4
/Users/jorgeguamis/Desktop/Life OS/02. Areas/business_revolutia/Revolutia.md,PERSONAL,L5-context-file,63,19,6,36,0,1,0,1,0,0,0
/Users/jorgeguamis/Desktop/Life OS/02. Areas/personal/diario/01. Daily/21-04-2026.md,PERSONAL,L5-journal,63,9,4,6,1,8,35,0,0,0,0
